id,answer_384,raw_output_384,parse_failed_384,fallback_used_384,gold_384,correct_384,strict_correct_384,group_id_384,question_type_384,image_meta_384,answer_new,raw_output_new,parse_failed_new,fallback_used_new,gold_new,correct_new,strict_correct_new,group_id_new,question_type_new,image_meta_new,transition
train_0017.jpg,b,b,False,False,d,False,False,g_train_0017.jpg,text_other,"{""original_size"": [1280, 720], ""grid_thw"": [[1, 18, 32]], ""processed_hw"": [[288, 512]], ""visual_tokens"": 144}",d,d,False,False,d,True,True,g_train_0017.jpg,text_other,"{""original_size"": [1280, 720], ""grid_thw"": [[1, 36, 64]], ""processed_hw"": [[576, 1024]], ""visual_tokens"": 576}",gain
train_0074.jpg,c,c,False,False,b,False,False,g_train_0074.jpg,text_other,"{""original_size"": [720, 960], ""grid_thw"": [[1, 26, 20]], ""processed_hw"": [[416, 320]], ""visual_tokens"": 130}",b,b,False,False,b,True,True,g_train_0074.jpg,text_other,"{""original_size"": [720, 960], ""grid_thw"": [[1, 56, 42]], ""processed_hw"": [[896, 672]], ""visual_tokens"": 588}",gain
train_0318.jpg,d,d,False,False,b,False,False,g_train_0318.jpg,text_other,"{""original_size"": [720, 943], ""grid_thw"": [[1, 26, 20]], ""processed_hw"": [[416, 320]], ""visual_tokens"": 130}",b,b,False,False,b,True,True,g_train_0318.jpg,text_other,"{""original_size"": [720, 943], ""grid_thw"": [[1, 56, 42]], ""processed_hw"": [[896, 672]], ""visual_tokens"": 588}",gain
train_0369.jpg,a,a,False,False,b,False,False,g_train_0369.jpg,price,"{""original_size"": [960, 720], ""grid_thw"": [[1, 20, 26]], ""processed_hw"": [[320, 416]], ""visual_tokens"": 130}",b,b,False,False,b,True,True,g_train_0369.jpg,price,"{""original_size"": [960, 720], ""grid_thw"": [[1, 42, 56]], ""processed_hw"": [[672, 896]], ""visual_tokens"": 588}",gain
train_0502.jpg,b,b,False,False,a,False,False,g_train_0502.jpg,text_other,"{""original_size"": [720, 960], ""grid_thw"": [[1, 26, 20]], ""processed_hw"": [[416, 320]], ""visual_tokens"": 130}",a,a,False,False,a,True,True,g_train_0502.jpg,text_other,"{""original_size"": [720, 960], ""grid_thw"": [[1, 56, 42]], ""processed_hw"": [[896, 672]], ""visual_tokens"": 588}",gain
train_0539.jpg,d,d,False,False,b,False,False,g_train_0539.jpg,text_other,"{""original_size"": [720, 960], ""grid_thw"": [[1, 26, 20]], ""processed_hw"": [[416, 320]], ""visual_tokens"": 130}",b,b,False,False,b,True,True,g_train_0539.jpg,text_other,"{""original_size"": [720, 960], ""grid_thw"": [[1, 56, 42]], ""processed_hw"": [[896, 672]], ""visual_tokens"": 588}",gain
train_0714.jpg,a,a,False,False,d,False,False,g_train_0714.jpg,number,"{""original_size"": [720, 960], ""grid_thw"": [[1, 26, 20]], ""processed_hw"": [[416, 320]], ""visual_tokens"": 130}",d,d,False,False,d,True,True,g_train_0714.jpg,number,"{""original_size"": [720, 960], ""grid_thw"": [[1, 56, 42]], ""processed_hw"": [[896, 672]], ""visual_tokens"": 588}",gain
train_0864.jpg,a,a,False,False,d,False,False,g_train_0864.jpg,text_other,"{""original_size"": [960, 720], ""grid_thw"": [[1, 20, 26]], ""processed_hw"": [[320, 416]], ""visual_tokens"": 130}",d,d,False,False,d,True,True,g_train_0864.jpg,text_other,"{""original_size"": [960, 720], ""grid_thw"": [[1, 42, 56]], ""processed_hw"": [[672, 896]], ""visual_tokens"": 588}",gain
train_0872.jpg,c,c,False,False,b,False,False,g_train_0872.jpg,price,"{""original_size"": [720, 960], ""grid_thw"": [[1, 26, 20]], ""processed_hw"": [[416, 320]], ""visual_tokens"": 130}",b,b,False,False,b,True,True,g_train_0872.jpg,price,"{""original_size"": [720, 960], ""grid_thw"": [[1, 56, 42]], ""processed_hw"": [[896, 672]], ""visual_tokens"": 588}",gain
train_0897.jpg,b,b,False,False,d,False,False,g_train_0897.jpg,negation,"{""original_size"": [720, 960], ""grid_thw"": [[1, 26, 20]], ""processed_hw"": [[416, 320]], ""visual_tokens"": 130}",d,d,False,False,d,True,True,g_train_0897.jpg,negation,"{""original_size"": [720, 960], ""grid_thw"": [[1, 56, 42]], ""processed_hw"": [[896, 672]], ""visual_tokens"": 588}",gain
