id,answer_full_text,raw_output_full_text,parse_failed_full_text,fallback_used_full_text,gold_full_text,correct_full_text,strict_correct_full_text,group_id_full_text,question_type_full_text,image_meta_full_text,answer_new,raw_output_new,parse_failed_new,fallback_used_new,gold_new,correct_new,strict_correct_new,group_id_new,question_type_new,image_meta_new,transition
train_0894.jpg,b,b,False,False,a,False,False,g_train_0894.jpg,text_other,"{""original_size"": [1128, 720], ""grid_thw"": [[1, 32, 52]], ""processed_hw"": [[512, 832]], ""visual_tokens"": 416}",a,a,False,False,a,True,True,g_train_0894.jpg,text_other,"{""original_size"": [1128, 720], ""grid_thw"": [[1, 32, 52]], ""processed_hw"": [[512, 832]], ""visual_tokens"": 416}",gain
train_1536.jpg,d,d,False,False,a,False,False,g_train_1536.jpg,number,"{""original_size"": [720, 960], ""grid_thw"": [[1, 48, 36]], ""processed_hw"": [[768, 576]], ""visual_tokens"": 432}",a,a,False,False,a,True,True,g_train_1536.jpg,number,"{""original_size"": [720, 960], ""grid_thw"": [[1, 48, 36]], ""processed_hw"": [[768, 576]], ""visual_tokens"": 432}",gain
train_1785.jpg,b,b,False,False,b,True,True,g_train_1785.jpg,text_other,"{""original_size"": [720, 1138], ""grid_thw"": [[1, 52, 32]], ""processed_hw"": [[832, 512]], ""visual_tokens"": 416}",c,c,False,False,b,False,False,g_train_1785.jpg,text_other,"{""original_size"": [720, 1138], ""grid_thw"": [[1, 52, 32]], ""processed_hw"": [[832, 512]], ""visual_tokens"": 416}",loss
train_1813.jpg,d,d,False,False,c,False,False,g_train_1813.jpg,price,"{""original_size"": [720, 960], ""grid_thw"": [[1, 48, 36]], ""processed_hw"": [[768, 576]], ""visual_tokens"": 432}",c,c,False,False,c,True,True,g_train_1813.jpg,price,"{""original_size"": [720, 960], ""grid_thw"": [[1, 48, 36]], ""processed_hw"": [[768, 576]], ""visual_tokens"": 432}",gain
train_1913.jpg,b,b,False,False,d,False,False,g_train_1913.jpg,text_other,"{""original_size"": [720, 1541], ""grid_thw"": [[1, 60, 28]], ""processed_hw"": [[960, 448]], ""visual_tokens"": 420}",d,d,False,False,d,True,True,g_train_1913.jpg,text_other,"{""original_size"": [720, 1541], ""grid_thw"": [[1, 60, 28]], ""processed_hw"": [[960, 448]], ""visual_tokens"": 420}",gain
train_2241.jpg,d,d,False,False,a,False,False,g_train_2241.jpg,text_other,"{""original_size"": [720, 960], ""grid_thw"": [[1, 48, 36]], ""processed_hw"": [[768, 576]], ""visual_tokens"": 432}",a,a,False,False,a,True,True,g_train_2241.jpg,text_other,"{""original_size"": [720, 960], ""grid_thw"": [[1, 48, 36]], ""processed_hw"": [[768, 576]], ""visual_tokens"": 432}",gain
train_2255.jpg,a,a,False,False,c,False,False,g_train_2255.jpg,text_other,"{""original_size"": [960, 720], ""grid_thw"": [[1, 36, 48]], ""processed_hw"": [[576, 768]], ""visual_tokens"": 432}",c,c,False,False,c,True,True,g_train_2255.jpg,text_other,"{""original_size"": [960, 720], ""grid_thw"": [[1, 36, 48]], ""processed_hw"": [[576, 768]], ""visual_tokens"": 432}",gain
train_2768.jpg,d,d,False,False,a,False,False,g_train_2768.jpg,text_other,"{""original_size"": [720, 960], ""grid_thw"": [[1, 48, 36]], ""processed_hw"": [[768, 576]], ""visual_tokens"": 432}",a,a,False,False,a,True,True,g_train_2768.jpg,text_other,"{""original_size"": [720, 960], ""grid_thw"": [[1, 48, 36]], ""processed_hw"": [[768, 576]], ""visual_tokens"": 432}",gain
train_3064.jpg,a,a,False,False,a,True,True,g_train_3064.jpg,text_other,"{""original_size"": [1906, 720], ""grid_thw"": [[1, 24, 68]], ""processed_hw"": [[384, 1088]], ""visual_tokens"": 408}",d,d,False,False,a,False,False,g_train_3064.jpg,text_other,"{""original_size"": [1906, 720], ""grid_thw"": [[1, 24, 68]], ""processed_hw"": [[384, 1088]], ""visual_tokens"": 408}",loss
train_3899.jpg,c,c,False,False,a,False,False,g_train_3899.jpg,text_other,"{""original_size"": [720, 960], ""grid_thw"": [[1, 48, 36]], ""processed_hw"": [[768, 576]], ""visual_tokens"": 432}",a,a,False,False,a,True,True,g_train_3899.jpg,text_other,"{""original_size"": [720, 960], ""grid_thw"": [[1, 48, 36]], ""processed_hw"": [[768, 576]], ""visual_tokens"": 432}",gain
train_3913.jpg,a,a,False,False,d,False,False,g_train_3913.jpg,price,"{""original_size"": [720, 960], ""grid_thw"": [[1, 48, 36]], ""processed_hw"": [[768, 576]], ""visual_tokens"": 432}",d,d,False,False,d,True,True,g_train_3913.jpg,price,"{""original_size"": [720, 960], ""grid_thw"": [[1, 48, 36]], ""processed_hw"": [[768, 576]], ""visual_tokens"": 432}",gain
train_3927.jpg,c,c,False,False,b,False,False,g_train_3927.jpg,text_other,"{""original_size"": [720, 960], ""grid_thw"": [[1, 48, 36]], ""processed_hw"": [[768, 576]], ""visual_tokens"": 432}",b,b,False,False,b,True,True,g_train_3927.jpg,text_other,"{""original_size"": [720, 960], ""grid_thw"": [[1, 48, 36]], ""processed_hw"": [[768, 576]], ""visual_tokens"": 432}",gain
train_4505.jpg,a,a,False,False,a,True,True,g_train_4505.jpg,text_other,"{""original_size"": [720, 720], ""grid_thw"": [[1, 42, 42]], ""processed_hw"": [[672, 672]], ""visual_tokens"": 441}",d,d,False,False,a,False,False,g_train_4505.jpg,text_other,"{""original_size"": [720, 720], ""grid_thw"": [[1, 42, 42]], ""processed_hw"": [[672, 672]], ""visual_tokens"": 441}",loss
train_4811.jpg,d,d,False,False,a,False,False,g_train_4811.jpg,number,"{""original_size"": [720, 960], ""grid_thw"": [[1, 48, 36]], ""processed_hw"": [[768, 576]], ""visual_tokens"": 432}",a,a,False,False,a,True,True,g_train_4811.jpg,number,"{""original_size"": [720, 960], ""grid_thw"": [[1, 48, 36]], ""processed_hw"": [[768, 576]], ""visual_tokens"": 432}",gain
