id,answer_1000,raw_output_1000,parse_failed_1000,fallback_used_1000,gold_1000,correct_1000,strict_correct_1000,group_id_1000,question_type_1000,image_meta_1000,answer_all,raw_output_all,parse_failed_all,fallback_used_all,gold_all,correct_all,strict_correct_all,group_id_all,question_type_all,image_meta_all,transition
train_0017.jpg,a,a,False,False,d,False,False,g_train_0017.jpg,text_other,"{""original_size"": [1280, 720], ""grid_thw"": [[1, 30, 56]], ""processed_hw"": [[480, 896]], ""visual_tokens"": 420}",d,d,False,False,d,True,True,g_train_0017.jpg,text_other,"{""original_size"": [1280, 720], ""grid_thw"": [[1, 30, 56]], ""processed_hw"": [[480, 896]], ""visual_tokens"": 420}",gain
train_0209.jpg,c,c,False,False,b,False,False,g_train_0209.jpg,text_other,"{""original_size"": [720, 960], ""grid_thw"": [[1, 48, 36]], ""processed_hw"": [[768, 576]], ""visual_tokens"": 432}",b,b,False,False,b,True,True,g_train_0209.jpg,text_other,"{""original_size"": [720, 960], ""grid_thw"": [[1, 48, 36]], ""processed_hw"": [[768, 576]], ""visual_tokens"": 432}",gain
train_0237.jpg,b,b,False,False,d,False,False,g_train_0237.jpg,text_other,"{""original_size"": [720, 960], ""grid_thw"": [[1, 48, 36]], ""processed_hw"": [[768, 576]], ""visual_tokens"": 432}",d,d,False,False,d,True,True,g_train_0237.jpg,text_other,"{""original_size"": [720, 960], ""grid_thw"": [[1, 48, 36]], ""processed_hw"": [[768, 576]], ""visual_tokens"": 432}",gain
train_0318.jpg,d,d,False,False,b,False,False,g_train_0318.jpg,text_other,"{""original_size"": [720, 943], ""grid_thw"": [[1, 48, 36]], ""processed_hw"": [[768, 576]], ""visual_tokens"": 432}",b,b,False,False,b,True,True,g_train_0318.jpg,text_other,"{""original_size"": [720, 943], ""grid_thw"": [[1, 48, 36]], ""processed_hw"": [[768, 576]], ""visual_tokens"": 432}",gain
train_1453.jpg,b,b,False,False,a,False,False,g_train_1453.jpg,position,"{""original_size"": [720, 960], ""grid_thw"": [[1, 48, 36]], ""processed_hw"": [[768, 576]], ""visual_tokens"": 432}",a,a,False,False,a,True,True,g_train_1453.jpg,position,"{""original_size"": [720, 960], ""grid_thw"": [[1, 48, 36]], ""processed_hw"": [[768, 576]], ""visual_tokens"": 432}",gain
train_1785.jpg,b,b,False,False,b,True,True,g_train_1785.jpg,text_other,"{""original_size"": [720, 1138], ""grid_thw"": [[1, 52, 32]], ""processed_hw"": [[832, 512]], ""visual_tokens"": 416}",c,c,False,False,b,False,False,g_train_1785.jpg,text_other,"{""original_size"": [720, 1138], ""grid_thw"": [[1, 52, 32]], ""processed_hw"": [[832, 512]], ""visual_tokens"": 416}",loss
train_1913.jpg,d,d,False,False,d,True,True,g_train_1913.jpg,text_other,"{""original_size"": [720, 1541], ""grid_thw"": [[1, 60, 28]], ""processed_hw"": [[960, 448]], ""visual_tokens"": 420}",b,b,False,False,d,False,False,g_train_1913.jpg,text_other,"{""original_size"": [720, 1541], ""grid_thw"": [[1, 60, 28]], ""processed_hw"": [[960, 448]], ""visual_tokens"": 420}",loss
train_1918.jpg,a,a,False,False,b,False,False,g_train_1918.jpg,text_other,"{""original_size"": [720, 960], ""grid_thw"": [[1, 48, 36]], ""processed_hw"": [[768, 576]], ""visual_tokens"": 432}",b,b,False,False,b,True,True,g_train_1918.jpg,text_other,"{""original_size"": [720, 960], ""grid_thw"": [[1, 48, 36]], ""processed_hw"": [[768, 576]], ""visual_tokens"": 432}",gain
train_2241.jpg,a,a,False,False,a,True,True,g_train_2241.jpg,text_other,"{""original_size"": [720, 960], ""grid_thw"": [[1, 48, 36]], ""processed_hw"": [[768, 576]], ""visual_tokens"": 432}",c,c,False,False,a,False,False,g_train_2241.jpg,text_other,"{""original_size"": [720, 960], ""grid_thw"": [[1, 48, 36]], ""processed_hw"": [[768, 576]], ""visual_tokens"": 432}",loss
train_2255.jpg,c,c,False,False,c,True,True,g_train_2255.jpg,text_other,"{""original_size"": [960, 720], ""grid_thw"": [[1, 36, 48]], ""processed_hw"": [[576, 768]], ""visual_tokens"": 432}",a,a,False,False,c,False,False,g_train_2255.jpg,text_other,"{""original_size"": [960, 720], ""grid_thw"": [[1, 36, 48]], ""processed_hw"": [[576, 768]], ""visual_tokens"": 432}",loss
train_2768.jpg,a,a,False,False,a,True,True,g_train_2768.jpg,text_other,"{""original_size"": [720, 960], ""grid_thw"": [[1, 48, 36]], ""processed_hw"": [[768, 576]], ""visual_tokens"": 432}",d,d,False,False,a,False,False,g_train_2768.jpg,text_other,"{""original_size"": [720, 960], ""grid_thw"": [[1, 48, 36]], ""processed_hw"": [[768, 576]], ""visual_tokens"": 432}",loss
train_3064.jpg,d,d,False,False,a,False,False,g_train_3064.jpg,text_other,"{""original_size"": [1906, 720], ""grid_thw"": [[1, 24, 68]], ""processed_hw"": [[384, 1088]], ""visual_tokens"": 408}",a,a,False,False,a,True,True,g_train_3064.jpg,text_other,"{""original_size"": [1906, 720], ""grid_thw"": [[1, 24, 68]], ""processed_hw"": [[384, 1088]], ""visual_tokens"": 408}",gain
train_3899.jpg,a,a,False,False,a,True,True,g_train_3899.jpg,text_other,"{""original_size"": [720, 960], ""grid_thw"": [[1, 48, 36]], ""processed_hw"": [[768, 576]], ""visual_tokens"": 432}",c,c,False,False,a,False,False,g_train_3899.jpg,text_other,"{""original_size"": [720, 960], ""grid_thw"": [[1, 48, 36]], ""processed_hw"": [[768, 576]], ""visual_tokens"": 432}",loss
train_5222.jpg,c,c,False,False,a,False,False,g_train_5222.jpg,position,"{""original_size"": [720, 960], ""grid_thw"": [[1, 48, 36]], ""processed_hw"": [[768, 576]], ""visual_tokens"": 432}",a,a,False,False,a,True,True,g_train_5222.jpg,position,"{""original_size"": [720, 960], ""grid_thw"": [[1, 48, 36]], ""processed_hw"": [[768, 576]], ""visual_tokens"": 432}",gain
train_5393.jpg,a,a,False,False,a,True,True,g_train_5393.jpg,price,"{""original_size"": [720, 960], ""grid_thw"": [[1, 48, 36]], ""processed_hw"": [[768, 576]], ""visual_tokens"": 432}",d,d,False,False,a,False,False,g_train_5393.jpg,price,"{""original_size"": [720, 960], ""grid_thw"": [[1, 48, 36]], ""processed_hw"": [[768, 576]], ""visual_tokens"": 432}",loss
