id,answer_base,raw_output_base,parse_failed_base,fallback_used_base,gold_base,correct_base,strict_correct_base,group_id_base,question_type_base,image_meta_base,answer_lora,raw_output_lora,parse_failed_lora,fallback_used_lora,gold_lora,correct_lora,strict_correct_lora,group_id_lora,question_type_lora,image_meta_lora,transition
train_0074.jpg,b,b,False,False,b,True,True,g_train_0074.jpg,text_other,"{""original_size"": [720, 960], ""grid_thw"": [[1, 26, 20]], ""processed_hw"": [[416, 320]], ""visual_tokens"": 130}",c,c,False,False,b,False,False,g_train_0074.jpg,text_other,"{""original_size"": [720, 960], ""grid_thw"": [[1, 26, 20]], ""processed_hw"": [[416, 320]], ""visual_tokens"": 130}",loss
train_0203.jpg,b,b,False,False,c,False,False,g_train_0203.jpg,price,"{""original_size"": [720, 960], ""grid_thw"": [[1, 26, 20]], ""processed_hw"": [[416, 320]], ""visual_tokens"": 130}",c,c,False,False,c,True,True,g_train_0203.jpg,price,"{""original_size"": [720, 960], ""grid_thw"": [[1, 26, 20]], ""processed_hw"": [[416, 320]], ""visual_tokens"": 130}",gain
train_0237.jpg,d,d,False,False,d,True,True,g_train_0237.jpg,text_other,"{""original_size"": [720, 960], ""grid_thw"": [[1, 26, 20]], ""processed_hw"": [[416, 320]], ""visual_tokens"": 130}",b,b,False,False,d,False,False,g_train_0237.jpg,text_other,"{""original_size"": [720, 960], ""grid_thw"": [[1, 26, 20]], ""processed_hw"": [[416, 320]], ""visual_tokens"": 130}",loss
train_0601.jpg,b,b,False,False,d,False,False,g_train_0601.jpg,number,"{""original_size"": [720, 960], ""grid_thw"": [[1, 26, 20]], ""processed_hw"": [[416, 320]], ""visual_tokens"": 130}",d,d,False,False,d,True,True,g_train_0601.jpg,number,"{""original_size"": [720, 960], ""grid_thw"": [[1, 26, 20]], ""processed_hw"": [[416, 320]], ""visual_tokens"": 130}",gain
train_0669.jpg,d,d,False,False,c,False,False,g_train_0669.jpg,text_other,"{""original_size"": [720, 960], ""grid_thw"": [[1, 26, 20]], ""processed_hw"": [[416, 320]], ""visual_tokens"": 130}",c,c,False,False,c,True,True,g_train_0669.jpg,text_other,"{""original_size"": [720, 960], ""grid_thw"": [[1, 26, 20]], ""processed_hw"": [[416, 320]], ""visual_tokens"": 130}",gain
train_0714.jpg,d,d,False,False,d,True,True,g_train_0714.jpg,number,"{""original_size"": [720, 960], ""grid_thw"": [[1, 26, 20]], ""processed_hw"": [[416, 320]], ""visual_tokens"": 130}",a,a,False,False,d,False,False,g_train_0714.jpg,number,"{""original_size"": [720, 960], ""grid_thw"": [[1, 26, 20]], ""processed_hw"": [[416, 320]], ""visual_tokens"": 130}",loss
train_0757.jpg,d,(d),False,False,b,False,False,g_train_0757.jpg,text_other,"{""original_size"": [960, 720], ""grid_thw"": [[1, 20, 26]], ""processed_hw"": [[320, 416]], ""visual_tokens"": 130}",b,b,False,False,b,True,True,g_train_0757.jpg,text_other,"{""original_size"": [960, 720], ""grid_thw"": [[1, 20, 26]], ""processed_hw"": [[320, 416]], ""visual_tokens"": 130}",gain
train_0864.jpg,d,d,False,False,d,True,True,g_train_0864.jpg,text_other,"{""original_size"": [960, 720], ""grid_thw"": [[1, 20, 26]], ""processed_hw"": [[320, 416]], ""visual_tokens"": 130}",a,a,False,False,d,False,False,g_train_0864.jpg,text_other,"{""original_size"": [960, 720], ""grid_thw"": [[1, 20, 26]], ""processed_hw"": [[320, 416]], ""visual_tokens"": 130}",loss
train_0897.jpg,d,d,False,False,d,True,True,g_train_0897.jpg,negation,"{""original_size"": [720, 960], ""grid_thw"": [[1, 26, 20]], ""processed_hw"": [[416, 320]], ""visual_tokens"": 130}",b,b,False,False,d,False,False,g_train_0897.jpg,negation,"{""original_size"": [720, 960], ""grid_thw"": [[1, 26, 20]], ""processed_hw"": [[416, 320]], ""visual_tokens"": 130}",loss
train_0933.jpg,d,d,False,False,d,True,True,g_train_0933.jpg,number,"{""original_size"": [960, 720], ""grid_thw"": [[1, 20, 26]], ""processed_hw"": [[320, 416]], ""visual_tokens"": 130}",a,a,False,False,d,False,False,g_train_0933.jpg,number,"{""original_size"": [960, 720], ""grid_thw"": [[1, 20, 26]], ""processed_hw"": [[320, 416]], ""visual_tokens"": 130}",loss
