id,answer_base,raw_output_base,parse_failed_base,fallback_used_base,gold_base,correct_base,strict_correct_base,group_id_base,question_type_base,image_meta_base,answer_lora,raw_output_lora,parse_failed_lora,fallback_used_lora,gold_lora,correct_lora,strict_correct_lora,group_id_lora,question_type_lora,image_meta_lora,transition,manual_error_category,review_note
train_0017.jpg,a,a,False,False,d,False,False,g_train_0017.jpg,text_other,"{""original_size"": [1280, 720], ""grid_thw"": [[1, 18, 32]], ""processed_hw"": [[288, 512]], ""visual_tokens"": 144}",b,b,False,False,d,False,False,g_train_0017.jpg,text_other,"{""original_size"": [1280, 720], ""grid_thw"": [[1, 18, 32]], ""processed_hw"": [[288, 512]], ""visual_tokens"": 144}",same_wrong,,
train_0074.jpg,b,b,False,False,b,True,True,g_train_0074.jpg,text_other,"{""original_size"": [720, 960], ""grid_thw"": [[1, 26, 20]], ""processed_hw"": [[416, 320]], ""visual_tokens"": 130}",c,c,False,False,b,False,False,g_train_0074.jpg,text_other,"{""original_size"": [720, 960], ""grid_thw"": [[1, 26, 20]], ""processed_hw"": [[416, 320]], ""visual_tokens"": 130}",loss,,
train_0209.jpg,d,d,False,False,b,False,False,g_train_0209.jpg,text_other,"{""original_size"": [720, 960], ""grid_thw"": [[1, 26, 20]], ""processed_hw"": [[416, 320]], ""visual_tokens"": 130}",c,c,False,False,b,False,False,g_train_0209.jpg,text_other,"{""original_size"": [720, 960], ""grid_thw"": [[1, 26, 20]], ""processed_hw"": [[416, 320]], ""visual_tokens"": 130}",same_wrong,,
train_0237.jpg,d,d,False,False,d,True,True,g_train_0237.jpg,text_other,"{""original_size"": [720, 960], ""grid_thw"": [[1, 26, 20]], ""processed_hw"": [[416, 320]], ""visual_tokens"": 130}",b,b,False,False,d,False,False,g_train_0237.jpg,text_other,"{""original_size"": [720, 960], ""grid_thw"": [[1, 26, 20]], ""processed_hw"": [[416, 320]], ""visual_tokens"": 130}",loss,,
train_0318.jpg,d,d,False,False,b,False,False,g_train_0318.jpg,text_other,"{""original_size"": [720, 943], ""grid_thw"": [[1, 26, 20]], ""processed_hw"": [[416, 320]], ""visual_tokens"": 130}",d,d,False,False,b,False,False,g_train_0318.jpg,text_other,"{""original_size"": [720, 943], ""grid_thw"": [[1, 26, 20]], ""processed_hw"": [[416, 320]], ""visual_tokens"": 130}",same_wrong,,
train_0369.jpg,a,a,False,False,b,False,False,g_train_0369.jpg,price,"{""original_size"": [960, 720], ""grid_thw"": [[1, 20, 26]], ""processed_hw"": [[320, 416]], ""visual_tokens"": 130}",a,a,False,False,b,False,False,g_train_0369.jpg,price,"{""original_size"": [960, 720], ""grid_thw"": [[1, 20, 26]], ""processed_hw"": [[320, 416]], ""visual_tokens"": 130}",same_wrong,,
train_0408.jpg,c,c,False,False,b,False,False,g_train_0408.jpg,text_other,"{""original_size"": [720, 960], ""grid_thw"": [[1, 26, 20]], ""processed_hw"": [[416, 320]], ""visual_tokens"": 130}",c,c,False,False,b,False,False,g_train_0408.jpg,text_other,"{""original_size"": [720, 960], ""grid_thw"": [[1, 26, 20]], ""processed_hw"": [[416, 320]], ""visual_tokens"": 130}",same_wrong,,
train_0502.jpg,b,b,False,False,a,False,False,g_train_0502.jpg,text_other,"{""original_size"": [720, 960], ""grid_thw"": [[1, 26, 20]], ""processed_hw"": [[416, 320]], ""visual_tokens"": 130}",b,b,False,False,a,False,False,g_train_0502.jpg,text_other,"{""original_size"": [720, 960], ""grid_thw"": [[1, 26, 20]], ""processed_hw"": [[416, 320]], ""visual_tokens"": 130}",same_wrong,,
train_0539.jpg,d,d,False,False,b,False,False,g_train_0539.jpg,text_other,"{""original_size"": [720, 960], ""grid_thw"": [[1, 26, 20]], ""processed_hw"": [[416, 320]], ""visual_tokens"": 130}",d,d,False,False,b,False,False,g_train_0539.jpg,text_other,"{""original_size"": [720, 960], ""grid_thw"": [[1, 26, 20]], ""processed_hw"": [[416, 320]], ""visual_tokens"": 130}",same_wrong,,
train_0714.jpg,d,d,False,False,d,True,True,g_train_0714.jpg,number,"{""original_size"": [720, 960], ""grid_thw"": [[1, 26, 20]], ""processed_hw"": [[416, 320]], ""visual_tokens"": 130}",a,a,False,False,d,False,False,g_train_0714.jpg,number,"{""original_size"": [720, 960], ""grid_thw"": [[1, 26, 20]], ""processed_hw"": [[416, 320]], ""visual_tokens"": 130}",loss,,
train_0864.jpg,d,d,False,False,d,True,True,g_train_0864.jpg,text_other,"{""original_size"": [960, 720], ""grid_thw"": [[1, 20, 26]], ""processed_hw"": [[320, 416]], ""visual_tokens"": 130}",a,a,False,False,d,False,False,g_train_0864.jpg,text_other,"{""original_size"": [960, 720], ""grid_thw"": [[1, 20, 26]], ""processed_hw"": [[320, 416]], ""visual_tokens"": 130}",loss,,
train_0872.jpg,c,c,False,False,b,False,False,g_train_0872.jpg,price,"{""original_size"": [720, 960], ""grid_thw"": [[1, 26, 20]], ""processed_hw"": [[416, 320]], ""visual_tokens"": 130}",c,c,False,False,b,False,False,g_train_0872.jpg,price,"{""original_size"": [720, 960], ""grid_thw"": [[1, 26, 20]], ""processed_hw"": [[416, 320]], ""visual_tokens"": 130}",same_wrong,,
train_0894.jpg,b,b,False,False,a,False,False,g_train_0894.jpg,text_other,"{""original_size"": [1128, 720], ""grid_thw"": [[1, 18, 30]], ""processed_hw"": [[288, 480]], ""visual_tokens"": 135}",b,b,False,False,a,False,False,g_train_0894.jpg,text_other,"{""original_size"": [1128, 720], ""grid_thw"": [[1, 18, 30]], ""processed_hw"": [[288, 480]], ""visual_tokens"": 135}",same_wrong,,
train_0897.jpg,d,d,False,False,d,True,True,g_train_0897.jpg,negation,"{""original_size"": [720, 960], ""grid_thw"": [[1, 26, 20]], ""processed_hw"": [[416, 320]], ""visual_tokens"": 130}",b,b,False,False,d,False,False,g_train_0897.jpg,negation,"{""original_size"": [720, 960], ""grid_thw"": [[1, 26, 20]], ""processed_hw"": [[416, 320]], ""visual_tokens"": 130}",loss,,
train_0933.jpg,d,d,False,False,d,True,True,g_train_0933.jpg,number,"{""original_size"": [960, 720], ""grid_thw"": [[1, 20, 26]], ""processed_hw"": [[320, 416]], ""visual_tokens"": 130}",a,a,False,False,d,False,False,g_train_0933.jpg,number,"{""original_size"": [960, 720], ""grid_thw"": [[1, 20, 26]], ""processed_hw"": [[320, 416]], ""visual_tokens"": 130}",loss,,
train_1036.jpg,b,b,False,False,c,False,False,g_train_1036.jpg,text_other,"{""original_size"": [720, 1279], ""grid_thw"": [[1, 30, 18]], ""processed_hw"": [[480, 288]], ""visual_tokens"": 135}",b,b,False,False,c,False,False,g_train_1036.jpg,text_other,"{""original_size"": [720, 1279], ""grid_thw"": [[1, 30, 18]], ""processed_hw"": [[480, 288]], ""visual_tokens"": 135}",same_wrong,,
train_1077.jpg,d,d,False,False,c,False,False,g_train_1077.jpg,price,"{""original_size"": [1320, 720], ""grid_thw"": [[1, 16, 32]], ""processed_hw"": [[256, 512]], ""visual_tokens"": 128}",d,d,False,False,c,False,False,g_train_1077.jpg,price,"{""original_size"": [1320, 720], ""grid_thw"": [[1, 16, 32]], ""processed_hw"": [[256, 512]], ""visual_tokens"": 128}",same_wrong,,
train_1180.jpg,b,b,False,False,c,False,False,g_train_1180.jpg,text_other,"{""original_size"": [720, 960], ""grid_thw"": [[1, 26, 20]], ""processed_hw"": [[416, 320]], ""visual_tokens"": 130}",b,b,False,False,c,False,False,g_train_1180.jpg,text_other,"{""original_size"": [720, 960], ""grid_thw"": [[1, 26, 20]], ""processed_hw"": [[416, 320]], ""visual_tokens"": 130}",same_wrong,,
train_1442.jpg,b,b,False,False,c,False,False,g_train_1442.jpg,text_other,"{""original_size"": [1279, 720], ""grid_thw"": [[1, 18, 30]], ""processed_hw"": [[288, 480]], ""visual_tokens"": 135}",b,b,False,False,c,False,False,g_train_1442.jpg,text_other,"{""original_size"": [1279, 720], ""grid_thw"": [[1, 18, 30]], ""processed_hw"": [[288, 480]], ""visual_tokens"": 135}",same_wrong,,
train_1453.jpg,b,b,False,False,a,False,False,g_train_1453.jpg,position,"{""original_size"": [720, 960], ""grid_thw"": [[1, 26, 20]], ""processed_hw"": [[416, 320]], ""visual_tokens"": 130}",b,b,False,False,a,False,False,g_train_1453.jpg,position,"{""original_size"": [720, 960], ""grid_thw"": [[1, 26, 20]], ""processed_hw"": [[416, 320]], ""visual_tokens"": 130}",same_wrong,,
train_1455.jpg,b,b,False,False,d,False,False,g_train_1455.jpg,price,"{""original_size"": [720, 960], ""grid_thw"": [[1, 26, 20]], ""processed_hw"": [[416, 320]], ""visual_tokens"": 130}",a,a,False,False,d,False,False,g_train_1455.jpg,price,"{""original_size"": [720, 960], ""grid_thw"": [[1, 26, 20]], ""processed_hw"": [[416, 320]], ""visual_tokens"": 130}",same_wrong,,
train_1499.jpg,a,a,False,False,d,False,False,g_train_1499.jpg,text_other,"{""original_size"": [720, 960], ""grid_thw"": [[1, 26, 20]], ""processed_hw"": [[416, 320]], ""visual_tokens"": 130}",a,a,False,False,d,False,False,g_train_1499.jpg,text_other,"{""original_size"": [720, 960], ""grid_thw"": [[1, 26, 20]], ""processed_hw"": [[416, 320]], ""visual_tokens"": 130}",same_wrong,,
train_1536.jpg,d,d,False,False,a,False,False,g_train_1536.jpg,number,"{""original_size"": [720, 960], ""grid_thw"": [[1, 26, 20]], ""processed_hw"": [[416, 320]], ""visual_tokens"": 130}",d,d,False,False,a,False,False,g_train_1536.jpg,number,"{""original_size"": [720, 960], ""grid_thw"": [[1, 26, 20]], ""processed_hw"": [[416, 320]], ""visual_tokens"": 130}",same_wrong,,
train_1593.jpg,d,d,False,False,c,False,False,g_train_1593.jpg,text_other,"{""original_size"": [960, 720], ""grid_thw"": [[1, 20, 26]], ""processed_hw"": [[320, 416]], ""visual_tokens"": 130}",b,b,False,False,c,False,False,g_train_1593.jpg,text_other,"{""original_size"": [960, 720], ""grid_thw"": [[1, 20, 26]], ""processed_hw"": [[320, 416]], ""visual_tokens"": 130}",same_wrong,,
train_1668.jpg,a,a,False,False,a,True,True,g_train_1668.jpg,negation,"{""original_size"": [720, 960], ""grid_thw"": [[1, 26, 20]], ""processed_hw"": [[416, 320]], ""visual_tokens"": 130}",c,c,False,False,a,False,False,g_train_1668.jpg,negation,"{""original_size"": [720, 960], ""grid_thw"": [[1, 26, 20]], ""processed_hw"": [[416, 320]], ""visual_tokens"": 130}",loss,,
train_1750.jpg,b,b,False,False,a,False,False,g_train_1750.jpg,price,"{""original_size"": [720, 1279], ""grid_thw"": [[1, 30, 18]], ""processed_hw"": [[480, 288]], ""visual_tokens"": 135}",b,b,False,False,a,False,False,g_train_1750.jpg,price,"{""original_size"": [720, 1279], ""grid_thw"": [[1, 30, 18]], ""processed_hw"": [[480, 288]], ""visual_tokens"": 135}",same_wrong,,
train_1813.jpg,d,d,False,False,c,False,False,g_train_1813.jpg,price,"{""original_size"": [720, 960], ""grid_thw"": [[1, 26, 20]], ""processed_hw"": [[416, 320]], ""visual_tokens"": 130}",d,d,False,False,c,False,False,g_train_1813.jpg,price,"{""original_size"": [720, 960], ""grid_thw"": [[1, 26, 20]], ""processed_hw"": [[416, 320]], ""visual_tokens"": 130}",same_wrong,,
train_1825.jpg,d,d,False,False,b,False,False,g_train_1825.jpg,negation,"{""original_size"": [960, 720], ""grid_thw"": [[1, 20, 26]], ""processed_hw"": [[320, 416]], ""visual_tokens"": 130}",d,d,False,False,b,False,False,g_train_1825.jpg,negation,"{""original_size"": [960, 720], ""grid_thw"": [[1, 20, 26]], ""processed_hw"": [[320, 416]], ""visual_tokens"": 130}",same_wrong,,
